阿杜,#genre#
一路北风吹,http://em.21dtv.com/songs/60053273.mkv
有你才完整,http://em.21dtv.com/songs/60055207.mkv
雁南飞,http://em.21dtv.com/songs/60065306.mkv
一诺千年,http://em.21dtv.com/songs/60136988.mkv
you lie,http://em.21dtv.com/songs/60006552.mkv
依然爱你,http://em.21dtv.com/songs/60068925.mkv
一人一花,http://em.21dtv.com/songs/60065342.mkv
一首情歌,http://em.21dtv.com/songs/60053685.mkv
一生一次,http://em.21dtv.com/songs/60067708.mkv
一天天一点点,http://em.21dtv.com/songs/60053714.mkv
雨衣,http://em.21dtv.com/songs/60055737.mkv
烟雨凤凰,http://em.21dtv.com/songs/60070113.mkv
胭脂路,http://em.21dtv.com/songs/60051930.mkv
准备接受爱,http://em.21dtv.com/songs/60059572.mkv
再唱一首,http://em.21dtv.com/songs/60068967.mkv
再见卡门(演唱会),http://em.21dtv.com/songs/60056862.mkv
抓紧你的手,http://em.21dtv.com/songs/60059408.mkv
祝你健康,http://em.21dtv.com/songs/60121719.mkv
祝你快乐,http://em.21dtv.com/songs/60059368.mkv
紫色的雪,http://em.21dtv.com/songs/60088267.mkv
走向前,http://em.21dtv.com/songs/60059963.mkv
站在这里,http://em.21dtv.com/songs/60080078.mkv
自作自受,http://em.21dtv.com/songs/60165835.mkv

阿郎,#genre#
About you,http://em.21dtv.com/songs/60169201.mkv
爱的太蠢,http://em.21dtv.com/songs/60131756.mkv
爱恨情愁,http://em.21dtv.com/songs/60007602.mkv
爱就是节拍,http://em.21dtv.com/songs/60114180.mkv
爱看得见,http://em.21dtv.com/songs/60084812.mkv
爱未走远,http://em.21dtv.com/songs/60100538.mkv
爱有你才存在,http://em.21dtv.com/songs/60009107.mkv
baby baby,http://em.21dtv.com/songs/60065619.mkv
彼岸花,http://em.21dtv.com/songs/60010396.mkv
不要让想你的人悲伤,http://em.21dtv.com/songs/60128494.mkv
赤壁大江东去,http://em.21dtv.com/songs/60088829.mkv
春风吹,http://em.21dtv.com/songs/60163169.mkv
唱给天空听,http://em.21dtv.com/songs/60122211.mkv
痴情关,http://em.21dtv.com/songs/60074945.mkv
赤子的心,http://em.21dtv.com/songs/60145734.mkv
丢了心,http://em.21dtv.com/songs/60114178.mkv
等千年,http://em.21dtv.com/songs/60015023.mkv
单身歌,http://em.21dtv.com/songs/60014367.mkv
抖音神曲,http://em.21dtv.com/songs/60167398.mkv
带着爱回家,http://em.21dtv.com/songs/60118997.mkv
凤凰,http://em.21dtv.com/songs/60067009.mkv
告天地,http://em.21dtv.com/songs/60064228.mkv
贵州有个心上人,http://em.21dtv.com/songs/60157927.mkv
槐花殇,http://em.21dtv.com/songs/60062195.mkv
回家,http://em.21dtv.com/songs/60162975.mkv
后来你好吗,http://em.21dtv.com/songs/60085198.mkv
红书包,http://em.21dtv.com/songs/60020967.mkv
灰色的舞台,http://em.21dtv.com/songs/60114190.mkv
回望,http://em.21dtv.com/songs/60093731.mkv
回望(演唱会),http://em.21dtv.com/songs/60094729.mkv
狠心的女人,http://em.21dtv.com/songs/60114191.mkv
弧月,http://em.21dtv.com/songs/60164385.mkv
金杯银杯,http://em.21dtv.com/songs/60105454.mkv
酒逢知己千杯少,http://em.21dtv.com/songs/60121056.mkv
金钱美媚与爱情,http://em.21dtv.com/songs/60097867.mkv
吉祥三聚,http://em.21dtv.com/songs/60154533.mkv
就在这样一个年代,http://em.21dtv.com/songs/60169202.mkv
哭,http://em.21dtv.com/songs/60066101.mkv
lan lan,http://em.21dtv.com/songs/60066669.mkv
乐此不疲,http://em.21dtv.com/songs/60148708.mkv
律动的心跳,http://em.21dtv.com/songs/60064499.mkv
老地方,http://em.21dtv.com/songs/60079862.mkv
龙女,http://em.21dtv.com/songs/60144650.mkv
love+song,http://em.21dtv.com/songs/60069106.mkv
love song,http://em.21dtv.com/songs/60066679.mkv
蓝色的忧郁轨,http://em.21dtv.com/songs/60122212.mkv
龙盛力量,http://em.21dtv.com/songs/60064491.mkv
蓝色眼睛,http://em.21dtv.com/songs/60165400.mkv
落叶归根,http://em.21dtv.com/songs/60126344.mkv
蓦兰,http://em.21dtv.com/songs/60102852.mkv
美人谷,http://em.21dtv.com/songs/60147834.mkv
my life,http://em.21dtv.com/songs/60003998.mkv
牧野往事,http://em.21dtv.com/songs/60149047.mkv
你不在,http://em.21dtv.com/songs/60113042.mkv
女公子一路光明,http://em.21dtv.com/songs/60095961.mkv
你还要我怎样,http://em.21dtv.com/songs/60164384.mkv
那年幸福,http://em.21dtv.com/songs/60149048.mkv
女人,http://em.21dtv.com/songs/60032885.mkv
你是谁,http://em.21dtv.com/songs/60080076.mkv
你笑起来真是一场好天气,http://em.21dtv.com/songs/60167514.mkv
盼梦圆(无原唱),http://em.21dtv.com/songs/60033153.mkv
朋友雄起,http://em.21dtv.com/songs/60114189.mkv
亲爱的你还爱不爱我,http://em.21dtv.com/songs/60126345.mkv
千古,http://em.21dtv.com/songs/60113037.mkv
阡陌,http://em.21dtv.com/songs/60103648.mkv
前座,http://em.21dtv.com/songs/60034307.mkv
忍不住眼泪,http://em.21dtv.com/songs/60102851.mkv
如果我的回忆没有了你,http://em.21dtv.com/songs/60062217.mkv
燃烧吧三金,http://em.21dtv.com/songs/60150749.mkv
让世界听见,http://em.21dtv.com/songs/60104522.mkv
热血三国,http://em.21dtv.com/songs/60139202.mkv
师父,http://em.21dtv.com/songs/60150991.mkv
输了你赢了世界又如何,http://em.21dtv.com/songs/60086840.mkv
上师祈祷文,http://em.21dtv.com/songs/60129707.mkv
神山颂,http://em.21dtv.com/songs/60105453.mkv
三生石三生路,http://em.21dtv.com/songs/60102850.mkv
它,http://em.21dtv.com/songs/60162447.mkv
她不爱我了,http://em.21dtv.com/songs/60062216.mkv
屯堡人,http://em.21dtv.com/songs/60114187.mkv
天地问剑,http://em.21dtv.com/songs/60097146.mkv
桃花缘,http://em.21dtv.com/songs/60161694.mkv
天籁之爱,http://em.21dtv.com/songs/60126343.mkv
天亮之后,http://em.21dtv.com/songs/60145732.mkv
叹相思,http://em.21dtv.com/songs/60164735.mkv
为爱成魔,http://em.21dtv.com/songs/60101191.mkv
我的月光,http://em.21dtv.com/songs/60115470.mkv
万古哭城,http://em.21dtv.com/songs/60067503.mkv
我回来了,http://em.21dtv.com/songs/60065077.mkv
我们都是贵州人,http://em.21dtv.com/songs/60126355.mkv
为你而来,http://em.21dtv.com/songs/60113041.mkv
为情心碎夜凄美,http://em.21dtv.com/songs/60133026.mkv
我以为,http://em.21dtv.com/songs/60078395.mkv
无字的绝情批,http://em.21dtv.com/songs/60047601.mkv
我只想看看你就走,http://em.21dtv.com/songs/60088835.mkv
心花,http://em.21dtv.com/songs/60121049.mkv
昔日情怀,http://em.21dtv.com/songs/60145733.mkv
谢谢你的无情,http://em.21dtv.com/songs/60117315.mkv
小小愿望,http://em.21dtv.com/songs/60078735.mkv
心中的妈妈,http://em.21dtv.com/songs/60061774.mkv
星之守护者,http://em.21dtv.com/songs/60165266.mkv
一朵云,http://em.21dtv.com/songs/60126342.mkv
一个人的天空,http://em.21dtv.com/songs/60162448.mkv
夜光下的小妹妹,http://em.21dtv.com/songs/60114186.mkv
樱花的眼泪,http://em.21dtv.com/songs/60169101.mkv
浴火重生,http://em.21dtv.com/songs/60116326.mkv
又见枫叶红,http://em.21dtv.com/songs/60105459.mkv
云开,http://em.21dtv.com/songs/60056653.mkv
一梦千寻,http://em.21dtv.com/songs/60117308.mkv
又是三更念一个人,http://em.21dtv.com/songs/60114179.mkv
又是三更 念一个人,http://em.21dtv.com/songs/60113043.mkv
鸳鸯衣,http://em.21dtv.com/songs/60072762.mkv
雨中蝶,http://em.21dtv.com/songs/60067740.mkv
最爱的人伤我最深,http://em.21dtv.com/songs/60114188.mkv
真爱无双,http://em.21dtv.com/songs/60106365.mkv
再出发,http://em.21dtv.com/songs/60144087.mkv
注定,http://em.21dtv.com/songs/60059274.mkv
志高智能风FREESTYLE,http://em.21dtv.com/songs/60151679.mkv
征婚歌,http://em.21dtv.com/songs/60069004.mkv
走好兄弟,http://em.21dtv.com/songs/60114192.mkv
卓玛,http://em.21dtv.com/songs/60059594.mkv
转念,http://em.21dtv.com/songs/60156657.mkv
在那遥远的地方,http://em.21dtv.com/songs/60087100.mkv
醉清风,http://em.21dtv.com/songs/60065533.mkv
终于我明白,http://em.21dtv.com/songs/60149598.mkv

阿肆,#genre#
angle,http://em.21dtv.com/songs/60084692.mkv
爱情寄寓,http://em.21dtv.com/songs/60008265.mkv
宝贝别走,http://em.21dtv.com/songs/60074621.mkv
被动,http://em.21dtv.com/songs/60010291.mkv
错爱,http://em.21dtv.com/songs/60112337.mkv
晨曦的金色曙光,http://em.21dtv.com/songs/60087684.mkv
痴心绝对,http://em.21dtv.com/songs/60012766.mkv
渡口,http://em.21dtv.com/songs/60131926.mkv
当你孤单你会想起谁,http://em.21dtv.com/songs/60088843.mkv
当我再爱你的时候,http://em.21dtv.com/songs/60014632.mkv
浮光掠影,http://em.21dtv.com/songs/60085100.mkv
疯了,http://em.21dtv.com/songs/60017560.mkv
孤单北半球,http://em.21dtv.com/songs/60018828.mkv
get up,http://em.21dtv.com/songs/60084715.mkv
��夫,http://em.21dtv.com/songs/60018721.mkv
关于爱,http://em.21dtv.com/songs/60168524.mkv
回来吧,http://em.21dtv.com/songs/60022143.mkv
狐狸精,http://em.21dtv.com/songs/60101696.mkv
怀念勐遮的酸沙鳅,http://em.21dtv.com/songs/60124841.mkv
回忆彼坛酒,http://em.21dtv.com/songs/60106377.mkv
i believe,http://em.21dtv.com/songs/60002428.mkv
简单爱,http://em.21dtv.com/songs/60023248.mkv
即刻启程,http://em.21dtv.com/songs/60165291.mkv
寂寞在唱歌,http://em.21dtv.com/songs/60022949.mkv
江南,http://em.21dtv.com/songs/60023341.mkv
开车,http://em.21dtv.com/songs/60024980.mkv
恋夏,http://em.21dtv.com/songs/60131925.mkv
两只蝴蝶,http://em.21dtv.com/songs/60027313.mkv
魔吞传奇,http://em.21dtv.com/songs/60118130.mkv
迈向前方,http://em.21dtv.com/songs/60104531.mkv
你的世界,http://em.21dtv.com/songs/60031607.mkv
你好周杰伦,http://em.21dtv.com/songs/60031777.mkv
男人旅途,http://em.21dtv.com/songs/60115482.mkv
你要的只是幸福,http://em.21dtv.com/songs/60032386.mkv
你要离开的一些时候,http://em.21dtv.com/songs/60066199.mkv
起床歌,http://em.21dtv.com/songs/60156660.mkv
缺乏,http://em.21dtv.com/songs/60086777.mkv
请回到我这里,http://em.21dtv.com/songs/60112333.mkv
七里香,http://em.21dtv.com/songs/60033748.mkv
如果爱你只有这一次,http://em.21dtv.com/songs/60036762.mkv
如果下辈子我还记得你,http://em.21dtv.com/songs/60088842.mkv
让我爱(演唱会),http://em.21dtv.com/songs/60036113.mkv
受了点伤,http://em.21dtv.com/songs/60039720.mkv
睡前故事[消伴],http://em.21dtv.com/songs/60101550.mkv
所幸,http://em.21dtv.com/songs/60168955.mkv
我不想,http://em.21dtv.com/songs/60044874.mkv
万堺尘涛,http://em.21dtv.com/songs/60121052.mkv
网络综合症,http://em.21dtv.com/songs/60043391.mkv
忘了怎么哭,http://em.21dtv.com/songs/60043624.mkv
温柔的慈悲,http://em.21dtv.com/songs/60044354.mkv
为什么我不是贝克汉姆,http://em.21dtv.com/songs/60044092.mkv
我在人民广场吃炸鸡,http://em.21dtv.com/songs/60084102.mkv
心甘情愿,http://em.21dtv.com/songs/60050236.mkv
夏日午后,http://em.21dtv.com/songs/60048391.mkv
心跳,http://em.21dtv.com/songs/60164119.mkv
吸引力,http://em.21dtv.com/songs/60065162.mkv
心罪,http://em.21dtv.com/songs/60101549.mkv
与君同赴,http://em.21dtv.com/songs/60163251.mkv
预谋邂逅,http://em.21dtv.com/songs/60087081.mkv
有女朋友别忘了请我吃饭,http://em.21dtv.com/songs/60087073.mkv
仰世而来,http://em.21dtv.com/songs/60161695.mkv
叶子,http://em.21dtv.com/songs/60052512.mkv
一直很安静,http://em.21dtv.com/songs/60053910.mkv
直到你降临,http://em.21dtv.com/songs/60149508.mkv
最负英雄,http://em.21dtv.com/songs/60082628.mkv
紫卿,http://em.21dtv.com/songs/60086275.mkv
找一个爱我的人在一起,http://em.21dtv.com/songs/60057701.mkv

BEYOND,#genre#
amani(演唱会),http://em.21dtv.com/songs/60000215.mkv
爸爸妈妈,http://em.21dtv.com/songs/60009625.mkv
报答一生,http://em.21dtv.com/songs/60010041.mkv
别怪我,http://em.21dtv.com/songs/60010583.mkv
半斤八两,http://em.21dtv.com/songs/60009876.mkv
不见不散,http://em.21dtv.com/songs/60011178.mkv
不可一世(演唱会),http://em.21dtv.com/songs/60011198.mkv
俾面派对(演唱会),http://em.21dtv.com/songs/60010410.mkv
不再犹豫(演唱会),http://em.21dtv.com/songs/60011764.mkv
扯火,http://em.21dtv.com/songs/60092141.mkv
赤红热血,http://em.21dtv.com/songs/60092147.mkv
冲开一切,http://em.21dtv.com/songs/60012859.mkv
打不死,http://em.21dtv.com/songs/60013752.mkv
打不死(演唱会),http://em.21dtv.com/songs/60013751.mkv
大地,http://em.21dtv.com/songs/60013887.mkv
点解点解,http://em.21dtv.com/songs/60015306.mkv
孤单一吻,http://em.21dtv.com/songs/60018872.mkv
光辉岁月,http://em.21dtv.com/songs/60019287.mkv
光辉岁月(演唱会),http://em.21dtv.com/songs/60019283.mkv
good time,http://em.21dtv.com/songs/60001959.mkv
管我,http://em.21dtv.com/songs/60019017.mkv
高温派对(演唱会),http://em.21dtv.com/songs/60018234.mkv
鼓舞太空,http://em.21dtv.com/songs/60092148.mkv
海阔天空,http://em.21dtv.com/songs/60019755.mkv
海阔天空(演唱会),http://em.21dtv.com/songs/60019748.mkv
缓慢,http://em.21dtv.com/songs/60021808.mkv
和平与爱,http://em.21dtv.com/songs/60020429.mkv
灰色轨迹(演唱会),http://em.21dtv.com/songs/60022041.mkv
活着便精彩,http://em.21dtv.com/songs/60022393.mkv
活着便精彩(演唱会),http://em.21dtv.com/songs/60022392.mkv
教坏细路,http://em.21dtv.com/songs/60023534.mkv
旧日的足迹(演唱会),http://em.21dtv.com/songs/60024556.mkv
金属狂人(演唱会),http://em.21dtv.com/songs/60024079.mkv
惊喜,http://em.21dtv.com/songs/60024208.mkv
交织千个心,http://em.21dtv.com/songs/60023461.mkv
可否冲破,http://em.21dtv.com/songs/60025288.mkv
困兽斗(演唱会),http://em.21dtv.com/songs/60025878.mkv
看星,http://em.21dtv.com/songs/60095243.mkv
抗战二十年,http://em.21dtv.com/songs/60092142.mkv
love,http://em.21dtv.com/songs/60003625.mkv
冷雨夜(演唱会),http://em.21dtv.com/songs/60026625.mkv
门外看,http://em.21dtv.com/songs/60029414.mkv
命运是你家(演唱会),http://em.21dtv.com/songs/60030305.mkv
农民,http://em.21dtv.com/songs/60032754.mkv
农民(演唱会),http://em.21dtv.com/songs/60032752.mkv
你知道我的迷惘,http://em.21dtv.com/songs/60089563.mkv
paradise,http://em.21dtv.com/songs/60004411.mkv
漆黑的空间,http://em.21dtv.com/songs/60077112.mkv
请将手放开,http://em.21dtv.com/songs/60035529.mkv
情人,http://em.21dtv.com/songs/60035167.mkv
情人(演唱会),http://em.21dtv.com/songs/60035161.mkv
谁伴我闯荡(演唱会),http://em.21dtv.com/songs/60039940.mkv
是错也再不分,http://em.21dtv.com/songs/60092144.mkv
逝去日子(演唱会),http://em.21dtv.com/songs/60039555.mkv
时日无多,http://em.21dtv.com/songs/60039155.mkv
声音(演唱会),http://em.21dtv.com/songs/60038653.mkv
岁月无声(演唱会),http://em.21dtv.com/songs/60040986.mkv
失踪,http://em.21dtv.com/songs/60095242.mkv
深紫色的高争鞋,http://em.21dtv.com/songs/60092146.mkv
太空(演唱会),http://em.21dtv.com/songs/60041330.mkv
褪色,http://em.21dtv.com/songs/60095244.mkv
叹息(演唱会),http://em.21dtv.com/songs/60041472.mkv
雾,http://em.21dtv.com/songs/60047841.mkv
我不信,http://em.21dtv.com/songs/60044898.mkv
无悔这一生,http://em.21dtv.com/songs/60047143.mkv
无尽空虚,http://em.21dtv.com/songs/60047169.mkv
忘记你,http://em.21dtv.com/songs/60043536.mkv
无泪的遗憾,http://em.21dtv.com/songs/60047197.mkv
为了您为了我,http://em.21dtv.com/songs/60043918.mkv
温暖��家乡,http://em.21dtv.com/songs/60044334.mkv
完全地爱吧,http://em.21dtv.com/songs/60043145.mkv
完全的拥有(演唱会),http://em.21dtv.com/songs/60043144.mkv
无声的告别(演唱会),http://em.21dtv.com/songs/60047411.mkv
我是愤怒(演唱会),http://em.21dtv.com/songs/60046102.mkv
无事无事,http://em.21dtv.com/songs/60092143.mkv
文武英杰宣言,http://em.21dtv.com/songs/60072508.mkv
妄想,http://em.21dtv.com/songs/60043472.mkv
午夜迷墙,http://em.21dtv.com/songs/60047729.mkv
午夜迷墙(演唱会),http://em.21dtv.com/songs/60047727.mkv
无语问苍天,http://em.21dtv.com/songs/60047552.mkv
午夜怨曲(演唱会),http://em.21dtv.com/songs/60047744.mkv
无助(演唱会),http://em.21dtv.com/songs/60047595.mkv
喜欢你(演唱会),http://em.21dtv.com/songs/60048124.mkv
喜欢一个人,http://em.21dtv.com/songs/60048146.mkv
醒你,http://em.21dtv.com/songs/60049082.mkv
心内心外,http://em.21dtv.com/songs/60152199.mkv
血染的风采,https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20201217/5623330UVqF1sc8YPbod665sH.mp4
昔日舞曲,http://em.21dtv.com/songs/60048007.mkv
昔日舞曲(演唱会),http://em.21dtv.com/songs/60048006.mkv
牺牲,http://em.21dtv.com/songs/60048010.mkv
预备,http://em.21dtv.com/songs/60055803.mkv
